Date,Open,High,Low,Close,Adj Close,Volume
2019-07-17,15.850000,16.100000,15.050000,15.700000,15.700000,898863
2019-07-18,15.800000,15.850000,14.950000,14.950000,14.950000,728435
2019-07-19,15.000000,15.500000,14.250000,14.250000,14.250000,713238
2019-07-22,13.550000,13.550000,13.550000,13.550000,13.550000,85598
2019-07-23,12.900000,14.200000,12.900000,13.150000,13.150000,1862850
2019-07-24,13.100000,13.700000,12.700000,13.200000,13.200000,566252
2019-07-25,13.500000,13.800000,12.900000,13.000000,13.000000,576284
2019-07-26,13.050000,13.600000,12.900000,13.400000,13.400000,672022
2019-07-29,13.750000,13.750000,12.900000,13.250000,13.250000,475046
2019-07-30,13.500000,13.550000,12.600000,12.600000,12.600000,534922
2019-07-31,12.600000,12.600000,12.000000,12.000000,12.000000,256574
2019-08-01,11.400000,11.750000,11.400000,11.400000,11.400000,597597
2019-08-02,10.900000,11.000000,10.850000,10.850000,10.850000,235320
2019-08-05,10.350000,10.700000,10.350000,10.350000,10.350000,77912
2019-08-06,9.850000,10.850000,9.850000,10.450000,10.450000,1400031
2019-08-07,10.500000,10.650000,9.950000,10.400000,10.400000,667167
2019-08-08,10.700000,10.700000,9.950000,10.000000,10.000000,581068
2019-08-09,10.250000,10.300000,9.500000,9.500000,9.500000,697514
2019-08-13,9.400000,9.950000,9.100000,9.950000,9.950000,875467
2019-08-14,10.400000,10.400000,10.400000,10.400000,10.400000,51042
2019-08-16,10.900000,10.900000,10.650000,10.900000,10.900000,609200
2019-08-19,11.400000,11.400000,11.400000,11.400000,11.400000,33229
2019-08-20,11.950000,11.950000,11.950000,11.950000,11.950000,34082
2019-08-21,12.500000,12.500000,11.400000,12.400000,12.400000,1948421
2019-08-22,12.650000,12.650000,11.800000,11.800000,11.800000,538765
2019-08-23,11.250000,12.200000,11.250000,11.350000,11.350000,374999
2019-08-26,11.850000,11.900000,11.050000,11.900000,11.900000,440929
2019-08-27,11.900000,12.450000,11.900000,12.050000,12.050000,752274
2019-08-28,12.000000,12.250000,11.450000,11.450000,11.450000,427847
2019-08-29,11.050000,12.000000,11.000000,12.000000,12.000000,624726
2019-08-30,12.000000,12.600000,12.000000,12.600000,12.600000,288704
2019-09-03,12.950000,13.200000,12.650000,13.200000,13.200000,260410
2019-09-04,13.500000,13.850000,13.300000,13.850000,13.850000,201689
2019-09-05,14.500000,14.500000,14.500000,14.500000,14.500000,36659
2019-09-06,15.200000,15.200000,15.200000,15.200000,15.200000,127912
2019-09-09,15.950000,15.950000,15.950000,15.950000,15.950000,39590
2019-09-11,16.700001,16.700001,16.700001,16.700001,16.700001,62315
2019-09-12,17.500000,17.500000,17.500000,17.500000,17.500000,30467
2019-09-13,18.350000,18.350000,16.650000,18.150000,18.150000,2527829
2019-09-16,18.000000,19.049999,17.299999,19.049999,19.049999,1560908
2019-09-17,19.700001,19.750000,18.100000,18.200001,18.200001,605785
2019-09-18,18.200001,19.049999,17.549999,18.000000,18.000000,283124
2019-09-19,18.250000,18.900000,17.100000,17.850000,17.850000,531621
2019-09-20,18.700001,18.700001,18.700001,18.700001,18.700001,196516
2019-09-23,19.600000,19.600000,19.150000,19.600000,19.600000,739337
2019-09-24,19.450001,19.450001,18.650000,18.650000,18.650000,281524
2019-09-25,17.750000,19.049999,17.750000,18.000000,18.000000,244907
2019-09-26,18.200001,18.450001,17.100000,17.549999,17.549999,171099
2019-09-27,16.700001,16.700001,16.700001,16.700001,16.700001,156081
2019-09-30,15.900000,15.900000,15.900000,15.900000,15.900000,57609
2019-10-01,15.200000,15.900000,15.150000,15.150000,15.150000,222149
2019-10-03,14.400000,15.250000,14.400000,14.750000,14.750000,184720
2019-10-04,14.750000,15.450000,14.750000,15.100000,15.100000,397585
2019-10-07,14.800000,15.200000,14.350000,14.450000,14.450000,143830
2019-10-09,13.900000,14.450000,13.750000,14.000000,14.000000,108778
2019-10-10,13.900000,14.200000,13.500000,13.600000,13.600000,101767
2019-10-11,13.750000,14.250000,13.550000,14.000000,14.000000,153073
2019-10-14,14.500000,14.700000,14.150000,14.700000,14.700000,78024
2019-10-15,15.300000,15.400000,14.800000,15.400000,15.400000,333539
2019-10-16,15.900000,16.150000,15.500000,16.150000,16.150000,155139
2019-10-17,16.350000,16.950001,16.100000,16.799999,16.799999,274031
2019-10-18,16.950001,17.350000,16.000000,16.000000,16.000000,226319
2019-10-22,15.800000,15.800000,15.200000,15.200000,15.200000,126690
2019-10-23,14.450000,15.400000,14.450000,14.600000,14.600000,146597
2019-10-24,14.600000,14.850000,13.900000,14.300000,14.300000,123902
2019-10-25,13.950000,14.900000,13.950000,14.750000,14.750000,103416
2019-10-27,null,null,null,null,null,null
2019-10-29,15.500000,15.800000,14.950000,15.700000,15.700000,195277
